,week_begin,week,month,item_id,category_id,price,competitor_min,competitor_delta,on_promo,sales,normalized_sales,price_index,competitor_index,similarity_group
51,2014-09-21,38,8,394848110,2,240.57,240.57,484,FALSE,474.13,0.914236858,1,1,44
52,2014-10-05,40,9,394848110,2,240.57,240.57,470,FALSE,491.98,0.948655958,1,1,44
53,2014-10-26,43,9,394848110,2,240.57,240.57,449,FALSE,245.99,0.474327979,1,1,43
54,2014-11-02,44,10,394848110,2,240.57,240.57,442,FALSE,360.06,0.694282419,1,1,44
55,2013-12-29,0,0,394848314,1,31.48,31.47,750,FALSE,170.67,0.454645714,1,1.000317763,22
56,2014-01-19,3,0,394848314,1,31.48,31.47,729,FALSE,612.55,1.63176441,1,1.000317763,24
57,2014-02-09,6,1,394848314,1,31.48,31.47,708,FALSE,209.41,0.557844723,1,1.000317763,22
58,2014-02-16,7,1,394848314,1,31.48,31.47,701,FALSE,573.8,1.528538762,1,1.000317763,24
59,2014-02-23,8,1,394848314,1,31.48,31.47,694,FALSE,183.58,0.489036504,1,1.000317763,22
60,2014-03-02,9,2,394848314,1,31.48,31.47,687,FALSE,157.75,0.420228285,1,1.000317763,21
61,2014-03-16,11,2,394848314,1,31.48,31.47,673,FALSE,692.81,1.845568037,1,1.000317763,24
62,2014-03-30,13,3,394848314,1,31.48,31.47,659,FALSE,144.84,0.385837494,1,1.000317763,21
63,2014-04-06,14,3,394848314,1,31.48,31.47,652,FALSE,390.22,1.039502258,1,1.000317763,24
64,2014-04-13,15,3,394848314,1,31.48,31.47,645,FALSE,261.07,0.695461162,1,1.000317763,23
65,2014-06-01,22,5,394848314,1,31.48,31.47,596,FALSE,315.51,0.840483208,1,1.000317763,23
66,2014-06-15,24,5,394848314,1,31.48,31.47,582,FALSE,392.99,1.046881227,1,1.000317763,24
67,2014-06-22,25,5,394848314,1,31.48,31.47,575,FALSE,692.81,1.845568037,1,1.000317763,24
68,2014-06-29,26,6,394848314,1,31.48,31.47,568,FALSE,261.07,0.695461162,1,1.000317763,23
69,2014-07-06,27,6,394848314,1,31.48,31.47,561,FALSE,550.74,1.467109511,1,1.000317763,24
70,2014-07-13,28,6,394848314,1,31.48,31.47,554,FALSE,602.4,1.60472595,1,1.000317763,24
71,2014-07-20,29,6,394848314,1,31.48,31.47,547,FALSE,157.75,0.420228285,1,1.000317763,21
72,2014-07-27,30,6,394848314,1,31.48,31.47,540,FALSE,315.51,0.840483208,1,1.000317763,23
73,2014-08-03,31,7,394848314,1,31.48,31.47,533,FALSE,144.84,0.385837494,1,1.000317763,21
74,2014-08-24,34,7,394848314,1,31.48,31.47,512,FALSE,509.23,1.356531533,1,1.000317763,24
75,2014-08-31,35,8,394848314,1,31.48,31.47,505,FALSE,956.66,2.548434806,1,1.000317763,24
76,2014-09-07,36,8,394848314,1,31.48,31.47,498,FALSE,418.82,1.115689446,1,1.000317763,24
77,2014-09-14,37,8,394848314,1,31.48,31.47,491,FALSE,157.75,0.420228285,1,1.000317763,21
78,2014-09-28,39,9,394848314,1,31.48,31.47,477,FALSE,354.25,0.943682217,1,1.000317763,24
79,2014-10-05,40,9,394848314,1,31.48,31.47,470,FALSE,157.75,0.420228285,1,1.000317763,21
80,2014-01-05,1,0,394848615,2,58.07,58.07,743,FALSE,157.7,0.459702164,1,1,31
81,2014-02-09,6,1,394848615,2,58.07,58.07,708,FALSE,312.39,0.910630051,1,1,33
82,2014-02-16,7,1,394848615,2,58.07,58.07,701,FALSE,157.7,0.459702164,1,1,31
83,2014-03-02,9,2,394848615,2,58.07,58.07,687,FALSE,157.7,0.459702164,1,1,31
84,2014-03-30,13,3,394848615,2,58.07,58.07,659,FALSE,260.82,0.760301322,1,1,33
85,2014-04-20,16,3,394848615,2,58.07,58.07,638,FALSE,209.26,0.610001743,1,1,33
86,2014-05-04,18,4,394848615,2,58.07,58.07,624,FALSE,183.48,0.534851954,1,1,32
